IsSpam,Pivot Question Value Numeric,Pivot Question,Pivot Question Value,Table Names,StartDate,EndDate,Status Response Type,IPAddress,Duration (in seconds),Finished,RecordedDate,ResponseID,LocationLatitude,LocationLongitude,DistributionChannel,Q2 How old are you?,Q3 What do you consider your race or ethnicity? (Optional),Q1 What is your gender? (Optional),Q4 Are you vaccinated against COVID-19?,Q5 There can be a variety of reasons why individuals like you have not received a COVID-19 vaccination,"Q6 If there were more vaccine choices available, would you consider getting one?","Q7 If there was a vaccine developed with more conventional methods, used in common vaccines for many years, would that appeal t","Q9 If there was a vaccine with less side effects, would that appeal to you more than the currently available vaccines?",State,County
False,1,"Q12 Given the current vaccines, how likely are you to get vaccinated?",Very Unlikely,survey3-geocoded.csv,12/10/2021 3:11:34 PM,12/10/2021 3:13:06 PM,IP Address,174.255.2.113,92,True,12/10/2021 3:13:07 PM,R_OP4hdwkB63u0GGt,37.751007080,-97.821998596,anonymous,25-40,Caucasian,Male,No,"I am unwilling to get a COVID vaccine.,I don’t think the current vaccines are safe.",No,No,No,Kansas,Sedgwick County
False,1,Q13 If there was a vaccine developed using more conventional methods would you get it?,Very Unlikely,survey3-geocoded.csv,12/10/2021 3:11:34 PM,12/10/2021 3:13:06 PM,IP Address,174.255.2.113,92,True,12/10/2021 3:13:07 PM,R_OP4hdwkB63u0GGt,37.751007080,-97.821998596,anonymous,25-40,Caucasian,Male,No,"I am unwilling to get a COVID vaccine.,I don’t think the current vaccines are safe.",No,No,No,Kansas,Sedgwick County
False,1,"Q14 If there was a vaccine with less side effects, would you get it?",Very Unlikely,survey3-geocoded.csv,12/10/2021 3:11:34 PM,12/10/2021 3:13:06 PM,IP Address,174.255.2.113,92,True,12/10/2021 3:13:07 PM,R_OP4hdwkB63u0GGt,37.751007080,-97.821998596,anonymous,25-40,Caucasian,Male,No,"I am unwilling to get a COVID vaccine.,I don’t think the current vaccines are safe.",No,No,No,Kansas,Sedgwick County
False,1,"Q15 If there was a vaccine developed using conventional methods, with less side effects, would you get it?",Very Unlikely,survey3-geocoded.csv,12/10/2021 3:11:34 PM,12/10/2021 3:13:06 PM,IP Address,174.255.2.113,92,True,12/10/2021 3:13:07 PM,R_OP4hdwkB63u0GGt,37.751007080,-97.821998596,anonymous,25-40,Caucasian,Male,No,"I am unwilling to get a COVID vaccine.,I don’t think the current vaccines are safe.",No,No,No,Kansas,Sedgwick County
False,4,"Q12 Given the current vaccines, how likely are you to get vaccinated?",Somewhat Likely,survey3-geocoded.csv,12/10/2021 3:12:30 PM,12/10/2021 3:13:17 PM,IP Address,71.64.112.118,47,True,12/10/2021 3:13:18 PM,R_307ZsGSc1T5CZ1X,42.075302124,-80.067100525,anonymous,25-40,Caucasian,Female,No,I don’t think the current vaccines are safe.,Maybe,No,No,Pennsylvania,Erie County
False,3,Q13 If there was a vaccine developed using more conventional methods would you get it?,Unsure,survey3-geocoded.csv,12/10/2021 3:12:30 PM,12/10/2021 3:13:17 PM,IP Address,71.64.112.118,47,True,12/10/2021 3:13:18 PM,R_307ZsGSc1T5CZ1X,42.075302124,-80.067100525,anonymous,25-40,Caucasian,Female,No,I don’t think the current vaccines are safe.,Maybe,No,No,Pennsylvania,Erie County
False,4,"Q14 If there was a vaccine with less side effects, would you get it?",Somewhat Likely,survey3-geocoded.csv,12/10/2021 3:12:30 PM,12/10/2021 3:13:17 PM,IP Address,71.64.112.118,47,True,12/10/2021 3:13:18 PM,R_307ZsGSc1T5CZ1X,42.075302124,-80.067100525,anonymous,25-40,Caucasian,Female,No,I don’t think the current vaccines are safe.,Maybe,No,No,Pennsylvania,Erie County
False,4,"Q15 If there was a vaccine developed using conventional methods, with less side effects, would you get it?",Somewhat Likely,survey3-geocoded.csv,12/10/2021 3:12:30 PM,12/10/2021 3:13:17 PM,IP Address,71.64.112.118,47,True,12/10/2021 3:13:18 PM,R_307ZsGSc1T5CZ1X,42.075302124,-80.067100525,anonymous,25-40,Caucasian,Female,No,I don’t think the current vaccines are safe.,Maybe,No,No,Pennsylvania,Erie County
False,1,"Q12 Given the current vaccines, how likely are you to get vaccinated?",Very Unlikely,survey3-geocoded.csv,12/10/2021 3:14:45 PM,12/10/2021 3:15:16 PM,IP Address,107.127.7.61,30,True,12/10/2021 3:15:16 PM,R_2ByzRVrqMRuPOpR,39.958694458,-82.998703003,anonymous,25-40,Caucasian,Male,No,I don’t think the current vaccines are safe.,No,No,No,Ohio,Franklin County
False,1,Q13 If there was a vaccine developed using more conventional methods would you get it?,Very Unlikely,survey3-geocoded.csv,12/10/2021 3:14:45 PM,12/10/2021 3:15:16 PM,IP Address,107.127.7.61,30,True,12/10/2021 3:15:16 PM,R_2ByzRVrqMRuPOpR,39.958694458,-82.998703003,anonymous,25-40,Caucasian,Male,No,I don’t think the current vaccines are safe.,No,No,No,Ohio,Franklin County
False,1,"Q14 If there was a vaccine with less side effects, would you get it?",Very Unlikely,survey3-geocoded.csv,12/10/2021 3:14:45 PM,12/10/2021 3:15:16 PM,IP Address,107.127.7.61,30,True,12/10/2021 3:15:16 PM,R_2ByzRVrqMRuPOpR,39.958694458,-82.998703003,anonymous,25-40,Caucasian,Male,No,I don’t think the current vaccines are safe.,No,No,No,Ohio,Franklin County
