StartDate Start Date,EndDate End Date,Status Response Type,IPAddress IP Address,Progress,Duration (in seconds),Finished,RecordedDate Recorded Date,ResponseId Response ID,RecipientLastName Recipient Last Name,RecipientFirstName Recipient First Name,RecipientEmail Recipient Email,ExternalReference External Data Reference,LocationLatitude Location Latitude,LocationLongitude Location Longitude,DistributionChannel Distribution Channel,UserLanguage User Language,Q_RecaptchaScore,Q2 How old are you?,Q3 What do you consider your race or ethnicity? (Optional),Q1 What is your gender? (Optional),Q4 Are you vaccinated against COVID-19?,"Q12 Given the current vaccines, how likely are you to get vaccinated?",Q5 There can be a variety of reasons why individuals like you have not received a COVID-19 vaccination,"Q6 If there were more vaccine choices available, would you consider getting one?","Q7 If there was a vaccine developed with more conventional methods, used in common vaccines for many years, would that appeal to you more than the currently available vaccines?",Q13 If there was a vaccine developed using more conventional methods would you get it?,"Q9 If there was a vaccine with less side effects, would that appeal to you more than the currently available vaccines?","Q14 If there was a vaccine with less side effects, would you get it?","Q15 If there was a vaccine developed using conventional methods, with less side effects, would you get it?",psid,PID,Create New Field or Choose From Dropdown...,state,county
2021-11-23 07:56:59,2021-11-23 07:57:06,Survey Preview,,100,6,True,2021-11-23 07:57:06,R_3ilQahpmkxmwQkC,,,,,47.2321929931640625,-121.178802490234375,preview,EN,,25-40,Caucasian,Male,Yes,,,,,,,,,,,,Washington,Kittitas County
2021-11-23 07:57:11,2021-11-23 07:57:33,Survey Preview,,100,22,True,2021-11-23 07:57:34,R_yHLPh3Tf3Y0e1pf,,,,,47.2321929931640625,-121.178802490234375,preview,EN,,40-60,MIddle Easterner,Female,No,Somewhat Unlikely,"I am unwilling to get a COVID vaccine.,I will not receive the vaccines due to religious belief.",Maybe,Yes,Very Likely,No,Somewhat Unlikely,Very Unlikely,,,,Washington,Kittitas County
2021-11-23 07:58:23,2021-11-23 07:58:43,Survey Preview,,100,19,True,2021-11-23 07:58:44,R_1GWvilaHlmzhJN5,,,,,47.2321929931640625,-121.178802490234375,preview,EN,,40-60,MIddle Easterner,Female,No,Somewhat Unlikely,I already have natural immunity from previous infection.,Maybe,No,Somewhat Likely,No,Very Unlikely,Unsure,,,,Washington,Kittitas County
2021-11-23 13:04:59,2021-11-23 13:05:08,IP Address,71.46.56.45,100,8,True,2021-11-23 13:05:08,R_3mdACidtbgbPwnn,,,,,28.3939056396484375,-81.421600341796875,anonymous,EN,,25-40,Native American,Female,Yes,,,,,,,,,1q6tBuaQxq6nSHANuAGIsw**,,,Florida,Orange County
2021-11-23 13:04:54,2021-11-23 13:05:08,IP Address,107.77.223.71,100,13,True,2021-11-23 13:05:08,R_1OrTgMmmQRl2nZq,,,,,40.8621978759765625,-73.89019775390625,anonymous,EN,,60+,Caucasian,Female,Yes,,,,,,,,,1q6tBuaQxq4BWtdSe21DeQ**,,,New York,Bronx
2021-11-23 13:05:01,2021-11-23 13:05:13,IP Address,184.152.56.147,100,12,True,2021-11-23 13:05:14,R_23aymr3V6CiybAb,,,,,40.664306640625,-73.9763031005859375,anonymous,EN,,60+,Caucasian,Male,Yes,,,,,,,,,1q6tBuaQxq7pywjz2KdoDA**,,,New York,Kings County
2021-11-23 13:05:26,2021-11-23 13:05:37,IP Address,67.1.102.240,100,10,True,2021-11-23 13:05:37,R_ANUx8kq70XaakvL,,,,,32.2698974609375,-110.98529815673828125,anonymous,EN,,60+,Caucasian,Female,Yes,,,,,,,,,1q6tBuaQxq4eaEvhNLD9cg**,,,Arizona,Pima County
2021-11-23 13:05:37,2021-11-23 13:05:50,IP Address,70.110.142.43,100,12,True,2021-11-23 13:05:50,R_1lg8jNE8Hk3GhW9,,,,,39.92059326171875,-75.1826019287109375,anonymous,EN,,60+,Caucasian,Female,Yes,,,,,,,,,1q6tBuaQxq6KwuOFFdmKdg**,,,Pennsylvania,Philadelphia County
2021-11-23 13:05:33,2021-11-23 13:05:58,IP Address,108.203.148.237,100,24,True,2021-11-23 13:05:58,R_3L78f8HujxwpUTB,,,,,29.0381927490234375,-95.44159698486328125,anonymous,EN,,60+,Caucasian,Male,Yes,,,,,,,,,1q6tBuaQxq4oDWCWbJylOQ**,,,Texas,Brazoria County
2021-11-23 13:05:52,2021-11-23 13:06:00,IP Address,73.141.230.175,100,7,True,2021-11-23 13:06:00,R_74Kh2WLvBLGS26B,,,,,39.7978973388671875,-75.53170013427734375,anonymous,EN,,60+,Caucasian,Female,Yes,,,,,,,,,1q6tBuaQxq6LN44uNi8KRA**,,,Delaware,New Castle County
2021-11-23 13:05:37,2021-11-23 13:06:07,IP Address,76.122.244.43,100,30,True,2021-11-23 13:06:08,R_31pjcIJtXGzVNsh,,,,,35.8450927734375,-86.4900970458984375,anonymous,EN,,60+,Caucasian,Male,Yes,,,,,,,,,1q6tBuaQxq70jjsFev7HIA**,,,Tennessee,Rutherford County
2021-11-23 13:05:14,2021-11-23 13:06:10,IP Address,63.75.255.161,100,56,True,2021-11-23 13:06:10,R_2TRla4jeXEwD3qd,,,,,40.089996337890625,-75.0363006591796875,anonymous,EN,,40-60,Caucasian,Male,No,Very Likely,"I don’t think the current vaccines are safe.,I don't trust in the way the current vaccines were developed.",Maybe,Yes,Very Likely,Yes,Very Likely,Very Likely,1q6tBuaQxq4vK0WPCKfieA**,,,Pennsylvania,Montgomery County
2021-11-23 13:06:22,2021-11-23 13:06:32,IP Address,24.144.226.59,100,10,True,2021-11-23 13:06:33,R_24hJ71qHcDGfNwB,,,,,41.0092926025390625,-80.6190032958984375,anonymous,EN,,60+,Caucasian,Male,Yes,,,,,,,,,1q6tBuaQxq4T0YAl3qMl0w**,,,Ohio,Mahoning County
2021-11-23 13:06:24,2021-11-23 13:06:35,IP Address,96.18.212.253,100,10,True,2021-11-23 13:06:35,R_239vlJ1QQApuT4X,,,,,33.773101806640625,-89.80789947509765625,anonymous,EN,,60+,Caucasian,Female,Yes,,,,,,,,,1q6tBuaQxq5FeBYI_Q8OLg**,,,Mississippi,Grenada County
2021-11-23 13:06:41,2021-11-23 13:07:06,IP Address,24.121.1.5,100,24,True,2021-11-23 13:07:06,R_2UVoQrKWRLRzJCH,,,,,34.4228057861328125,-114.125,anonymous,EN,,25-40,Caucasian,Male,Yes,,,,,,,,,1q6tBuaQxq6szaTPZgTGVA**,,,Arizona,Mohave County
2021-11-23 13:06:31,2021-11-23 13:07:26,IP Address,73.255.254.1,100,54,True,2021-11-23 13:07:26,R_3hm7RvWBNPYGDMi,,,,,27.3253936767578125,-82.473297119140625,anonymous,EN,,60+,Caucasian,Male,No,Unsure,I will not receive the vaccines due to religious belief.,No,No,Very Unlikely,No,Very Unlikely,Very Unlikely,1q6tBuaQxq4WHsnJybbKdw**,,,Florida,Sarasota County
2021-11-23 13:07:44,2021-11-23 13:07:54,IP Address,172.117.145.252,100,9,True,2021-11-23 13:07:54,R_8dWzFyIUrxNndOF,,,,,33.8224945068359375,-118.310302734375,anonymous,EN,,18-25,Hispanic or Latino,Female,Yes,,,,,,,,,1q6tBuaQxq6Li-wD4pTLlw**,,,California,Los Angeles County
2021-11-23 13:06:27,2021-11-23 13:07:57,IP Address,76.125.24.87,100,89,True,2021-11-23 13:07:57,R_2pL7nMOFZf09icB,,,,,33.5218048095703125,-82.08409881591796875,anonymous,EN,,40-60,Caucasian,Male,No,Very Likely,I don’t think the current vaccines are safe.,Yes,Yes,Somewhat Likely,Yes,Very Likely,Very Likely,1q6tBuaQxq4Y7tX8F7T1VA**,,,Georgia,Columbia County
2021-11-23 13:07:47,2021-11-23 13:08:03,IP Address,70.176.167.73,100,15,True,2021-11-23 13:08:03,R_1Nk7FLOfJHumsOa,,,,,33.6096038818359375,-112.3253021240234375,anonymous,EN,,60+,Caucasian,Female,Yes,,,,,,,,,1q6tBuaQxq7rA4u7ZjTFJg**,,,Arizona,Maricopa County
